query,retrieved,false_removals,false_removal_rate,answer_similarity,defense_ms
Which hotel is best for a quiet stay near the city centre?,4,0,0.0,0.9706029295921326,44.8209179994592
"I need a hotel with a good breakfast, what do reviewers say?",4,0,0.0,1.0,15.09974000055081
Are there hotels with reliable wifi for remote work?,4,0,0.0,1.0,15.310482000131742
Is there a family friendly hotel with spacious rooms?,4,0,0.0,1.0,12.092917000700254
"I want a hotel close to the train station, any suggestions?",4,0,0.0,1.0,14.69836399974156
Are the rooms clean in the hotels near the old town?,4,0,0.0,1.0,14.114122999671963
Which hotel offers the best value for money?,4,0,0.0,1.0,15.166561000114598
Is parking available at any of the reviewed hotels?,4,0,0.0,1.0,10.925278999820875
Which hotel is best for a quiet stay near the city centre?,4,0,0.0,1.0,15.009099000053538
"I need a hotel with a good breakfast, what do reviewers say?",4,0,0.0,1.0,13.880546999644139
Are there hotels with reliable wifi for remote work?,4,0,0.0,1.0,14.295075999143592
Is there a family friendly hotel with spacious rooms?,4,0,0.0,1.0,14.156162000290351
"I want a hotel close to the train station, any suggestions?",4,0,0.0,1.0,10.244492000310856
Are the rooms clean in the hotels near the old town?,4,0,0.0,1.0,14.527389999784646
Which hotel offers the best value for money?,4,0,0.0,1.0,10.30217400057154
Is parking available at any of the reviewed hotels?,4,0,0.0,1.0,14.245244999983697
Which hotel is best for a quiet stay near the city centre?,4,0,0.0,1.0,13.866410999980872
"I need a hotel with a good breakfast, what do reviewers say?",4,0,0.0,1.0,14.47258200005308
Are there hotels with reliable wifi for remote work?,4,0,0.0,1.0,13.907986999583954
Is there a family friendly hotel with spacious rooms?,4,0,0.0,1.0,14.709900000525522
"I want a hotel close to the train station, any suggestions?",4,0,0.0,1.0,14.637930000390043
Are the rooms clean in the hotels near the old town?,4,0,0.0,1.0,10.579948999293265
Which hotel offers the best value for money?,4,0,0.0,1.0,14.253252000344219
Is parking available at any of the reviewed hotels?,4,0,0.0,1.0,10.645987999851059
Which hotel is best for a quiet stay near the city centre?,4,0,0.0,1.0,14.394212999832234
"I need a hotel with a good breakfast, what do reviewers say?",4,0,0.0,1.0,14.767489000405476
Are there hotels with reliable wifi for remote work?,4,0,0.0,1.0,10.294114999851445
Is there a family friendly hotel with spacious rooms?,4,0,0.0,1.0,14.646142000856344
"I want a hotel close to the train station, any suggestions?",4,0,0.0,1.0,14.828323000074306
Are the rooms clean in the hotels near the old town?,4,0,0.0,1.0,15.104930000234162
Which hotel offers the best value for money?,4,0,0.0,1.0,14.812156000516552
Is parking available at any of the reviewed hotels?,4,0,0.0,1.0,14.2704979998598
Which hotel is best for a quiet stay near the city centre?,4,0,0.0,1.0,14.7194839992153
"I need a hotel with a good breakfast, what do reviewers say?",4,0,0.0,1.0,15.101006999429956
Are there hotels with reliable wifi for remote work?,4,0,0.0,1.0,14.599753000766214
Is there a family friendly hotel with spacious rooms?,4,0,0.0,1.0,13.936157999523857
"I want a hotel close to the train station, any suggestions?",4,0,0.0,1.0,10.348833000534796
Are the rooms clean in the hotels near the old town?,4,0,0.0,1.0,14.055586000722542
Which hotel offers the best value for money?,4,0,0.0,1.0,14.499513999908231
Is parking available at any of the reviewed hotels?,4,0,0.0,1.0,10.682135000024573
Which hotel is best for a quiet stay near the city centre?,4,0,0.0,1.0,10.657711000021663
"I need a hotel with a good breakfast, what do reviewers say?",4,0,0.0,1.0,10.544409999965865
Are there hotels with reliable wifi for remote work?,4,0,0.0,1.0,10.208777000116243
Is there a family friendly hotel with spacious rooms?,4,0,0.0,1.0,14.250283000365016
"I want a hotel close to the train station, any suggestions?",4,0,0.0,1.0,13.947006000307738
Are the rooms clean in the hotels near the old town?,4,0,0.0,1.0,14.197448999766493
Which hotel offers the best value for money?,4,0,0.0,1.0,15.22186799957126
Is parking available at any of the reviewed hotels?,4,0,0.0,1.0,10.734851000052004
Which hotel is best for a quiet stay near the city centre?,4,0,0.0,1.0,13.811559999339806
"I need a hotel with a good breakfast, what do reviewers say?",4,0,0.0,1.0,10.28701099949103
Are there hotels with reliable wifi for remote work?,4,0,0.0,1.0,11.145896000016364
Is there a family friendly hotel with spacious rooms?,4,0,0.0,1.0,13.864905999980692
"I want a hotel close to the train station, any suggestions?",4,0,0.0,1.0,14.422436999666388
Are the rooms clean in the hotels near the old town?,4,0,0.0,1.0,11.34031000037794
Which hotel offers the best value for money?,4,0,0.0,1.0,10.869538000406465
Is parking available at any of the reviewed hotels?,4,0,0.0,1.0,10.372353000093426
Which hotel is best for a quiet stay near the city centre?,4,0,0.0,1.0,14.604923999286257
"I need a hotel with a good breakfast, what do reviewers say?",4,0,0.0,1.0,10.321712999939336
Are there hotels with reliable wifi for remote work?,4,0,0.0,1.0,14.258660999985295
Is there a family friendly hotel with spacious rooms?,4,0,0.0,1.0,10.768441999971401
